Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2024|HISV201L|International History I [E] 01|TANAKA, Takahiko|Schl Political Sci/Econo|spring semester|['Tues.2']|['3-304']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100113101202411G100113111&pLng=en
2024|POLX251O|Public Administration [E] 01|AGATA, Koichiro／YAMADA, Harunori|Schl Political Sci/Econo|fall semester|['othersOn demand']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100114001202411G100114011&pLng=en
2024|LAWH201L|Law and Society in Japan [E] 01|ISHIDA, Kyoko|Schl Political Sci/Econo|fall semester|['Thur.5']|['3-502']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100116101202411G100116111&pLng=en
2024|POLX301L|Advanced Topics in Political Science: Polimetrics - Applied Scaling & Classification Techniques Using Text Data [E] 01|CURINI, Luigi|Schl Political Sci/Econo|winter quarter|['01:Fri.1', '02:Fri.4']|['01:3-902 (SPSE PC Room)', '02:3-902 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100SA0501202411G100SA0511&pLng=en
2024|ECNE101L|Introduction to Microeconomics [E] 01|KAWAMURA, Kohei|Schl Political Sci/Econo|fall quarter|['01:Mon.3', '02:Thur.5']|['01:3-302', '02:3-302']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200101101202411G200101111&pLng=en
2024|ECNE101L|Introduction to Macroeconomics [E] 01|OGURA, Yoshiaki|Schl Political Sci/Econo|winter quarter|['01:Mon.3', '02:Fri.2']|['01:3-302', '02:3-302']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200101201202411G200101211&pLng=en
2024|ECNT211L|Microeconomics I [E] 01|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200102001202411G200102011&pLng=en
2024|ECNT211L|Microeconomics I [E] 02|OWAN, Hideo|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-501']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200102002202411G200102011&pLng=en
2024|ECNT211L|Microeconomics II [E] 01|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200102101202411G200102111&pLng=en
2024|ECNT411L|Macroeconomics I [E] 02|KOEDA, Junko|Schl Political Sci/Econo|spring semester|['Wed.2']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200103002202411G200103011&pLng=en
2024|ECNT211L|Macroeconomics II [E] 01|RUJIWATTANAPONG, Wongkot Similan|Schl Political Sci/Econo|fall semester|['Mon.5']|['3-801']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200103101202411G200103111&pLng=en
2024|ECNT231L|Behavioral Economics [E] 01|DEJARNETTE, Patrick|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-601']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200106001202411G200106011&pLng=en
2024|ECNA251L|Law and Economics [E] 01|KAWAMURA, Kohei|Schl Political Sci/Econo|fall semester|['Mon.4']|['3-302']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200109001202411G200109011&pLng=en
2024|STAX101L|Statistics II [E] 01|DENDUP, Ngawang|Schl Political Sci/Econo|summer quarter|['01:Tues.5', '02:Mon.3']|['01:3-903 (SPSE PC Room)', '02:3-903 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200110001202411G200110011&pLng=en
2024|STAX101L|Statistics II [E] 02|DENDUP, Ngawang|Schl Political Sci/Econo|summer quarter|['01:Tues.5', '02:Mon.4']|['01:3-903 (SPSE PC Room)', '02:3-903 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200110002202411G200110011&pLng=en
2024|STAX101L|Statistics II [E] 03|DENDUP, Ngawang|Schl Political Sci/Econo|summer quarter|['01:Tues.5', '02:Mon.5']|['01:3-903 (SPSE PC Room)', '02:3-903 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200110003202411G200110011&pLng=en
2024|ECNA321L|Finance [E] 01|YAMAMOTO, Ryuichi|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-304']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200111001202411G200111011&pLng=en
2024|ECNT331L|Advanced Topics in Economics: Market Design [E] 01|KORIYAMA, Yukio／FUNAKI, Yukihiko|Schl Political Sci/Econo|summer quarter|['01:Wed.5', '02:Wed.6']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200SA0901202411G200SA0911&pLng=en
2024|ECNA301L|Empirical Personnel Economics [E] 01|OWAN, Hideo|Schl Political Sci/Econo|fall quarter|['01:Mon.4', '02:Thur.4']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200SA1001202411G200SA1011&pLng=en
2024|MATX131L|Introduction to Mathematical Analysis A (Linear Algebra) [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|fall quarter|['01:Mon.2', '02:Fri.2']|['01:3-501', '02:3-302']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300101101202411G300101111&pLng=en
2024|MATX131L|Introduction to Mathematical Analysis B (Calculus) [E] 01|NOBE, Atsushi|Schl Political Sci/Econo|winter quarter|['01:Mon.2', '02:Fri.4']|['01:3-501', '02:3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300101201202411G300101211&pLng=en
2024|ECNT111L|Introduction to Game Theory [E] 01|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['Thur.5']|['3-301']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300102001202411G300102011&pLng=en
2024|STAX101L|Statistics I [E] 01|DENDUP, Ngawang|Schl Political Sci/Econo|spring quarter|['01:Tues.5', '02:Mon.3']|['01:3-903 (SPSE PC Room)', '02:3-903 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300103001202411G300103011&pLng=en
2024|STAX101L|Statistics I [E] 02|DENDUP, Ngawang|Schl Political Sci/Econo|spring quarter|['01:Tues.5', '02:Mon.4']|['01:3-903 (SPSE PC Room)', '02:3-903 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300103002202411G300103011&pLng=en
2024|STAX101L|Statistics I [E] 03|DENDUP, Ngawang|Schl Political Sci/Econo|spring quarter|['01:Tues.5', '02:Mon.5']|['01:3-903 (SPSE PC Room)', '02:3-903 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300103003202411G300103011&pLng=en
2024|MATX231L|Mathematical Economics [E] 01|ROMMESWINKEL, Hendrik|Schl Political Sci/Econo|spring semester|['Tues.4']|['10-201']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300105001202411G300105011&pLng=en
2024|MATX23ZL|Calculus (Multivariable Integral Calculus) [E] 01|BOWEN, Mark|Schl Political Sci/Econo|spring quarter|['01:Wed.3', '02:Fri.1']|['01:53-404', '02:53-403']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300106201202411G300106211&pLng=en
2024|MATX23ZL|Calculus (Multivariable Integral Calculus) [E] 02|OKAZAKI, Ryotaro|Schl Political Sci/Econo|spring quarter|['01:Wed.2', '02:Thur.1']|['01:53-303', '02:53-201']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300106202202411G300106211&pLng=en
2024|MATX23ZL|Calculus (Multivariable Calculus) [E] 01|NOBE, Atsushi|Schl Political Sci/Econo|spring semester|['Fri.4']|['3-302']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300106301202411G300106311&pLng=en
2024|MATX11ZL|Linear Algebra [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|fall semester|['Mon.3']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300107201202411G300107211&pLng=en
2024|MATX14ZL|Introduction to Probability and Statistics [E] 01|TRINH, Khanh Duy|Schl Political Sci/Econo|summer quarter|['01:Mon.5', '02:Wed.4']|['01:54-401', '02:61-206']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300108001202411G300108011&pLng=en
2024|MATX14ZL|Introduction to Probability and Statistics [E] 02|PAN, Zhenni|Schl Political Sci/Econo|fall quarter|['01:Mon.5', '02:Thur.3']|['01:54-404', '02:54-404']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300108002202411G300108011&pLng=en
2024|BSPX101S|Basic Seminar [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|fall semester|['Tues.5']|['3-708']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101001202411G400101011&pLng=en
2024|BSPX101S|Basic Seminar [E] 02|PERVIN, Shahida|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-609']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101002202411G400101011&pLng=en
2024|BSPX101S|Basic Seminar [E] 03|PERVIN, Shahida|Schl Political Sci/Econo|fall semester|['Tues.5']|['3-609']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101003202411G400101011&pLng=en
2024|BSPX101S|Basic Seminar [E] 05|KVASOV, Dmitriy|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-602']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101005202411G400101011&pLng=en
2024|BSPX101S|Basic Seminar [E] 06|DENDUP, Ngawang|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101006202411G400101011&pLng=en
2024|BSPX101S|Basic Seminar [E] 07|KOBAYASHI, Takuto|Schl Political Sci/Econo|fall semester|['Tues.5']|['3-712']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101007202411G400101011&pLng=en
